week_id,action_week
102426675,202025
102429717,202031
102433266,202038
102435294,202042
102438336,202048
102428196,202028
102424140,202020
102419070,202010
102416028,202004
102439857,202051
102416535,202005
102432252,202036
102418563,202009
102421098,202014
102439350,202050
102427182,202026
102423633,202019
102434280,202040
102417549,202007
102431238,202034
102415014,202002
102417042,202006
102422112,202016
102428703,202029
102423126,202018
102437322,202046
102430731,202033
102420084,202012
102434787,202041
102437829,202047
102436815,202045
102414507,202001
102427689,202027
102433773,202039
102429210,202030
102426168,202024
102422619,202017
102421605,202015
102418056,202008
102430224,202032
102424647,202021
102431745,202035
102415521,202003
102425661,202023
102438843,202049
102414000,202000
102435801,202043
102425154,202022
102419577,202011
102436308,202044
102420591,202013
102432759,202037
102440364,202052
